Where else in Lines,Uploaded in Dylan,Line,What song is it from? Who wrote it?,Who sang it? Wrote it? ,Website urls,Decade,Genre,Year
,37,"Well, I'll return to the Queen of Spades
And talk with my chambermaid
She knows that I'm not afraid to look at her
She is good to me
And there's nothing she doesn't see
She knows where I'd like to be
But it doesn't matter",I Want You,Bob Dylan,https://youtu.be/a0V9oWGpGwE?t=198,1960s,,1966
,39,"He hands you a nickel when he hands you a dime
Ask you with a grin, ""Are you havin' a good time?""
Then he fines you every time you slam the door",Maggie's Farm,Bob Dylan,https://youtu.be/xXKu6kForKI?t=110,1960s,Blues,1965
,40,"You've got a lotta nerve to say you are my friend
When I was down you just stood there grinnin'
You've got a lotta nerve to say you got a helping hand to lend
You just want to be on the side that's winnin'",Positively 4th Street,Bob Dylan,https://youtu.be/6lpk9Q-Efwc?t=7,1960s,,1965
,41,"They say every man needs protection
They say that every man must fall
Yet I swear I see my reflection
Somewhere so high above this wall",I Shall Be Released,"Bob Dylan w/ The Band, Ringo, Paul Butterfield, Eric Clapton, Dr. John, Joni Mitchell, Van Morrison, Stephen Stills, Ronnie Wood & Neil Young (1976)",https://youtu.be/oBACxgvrCGo?t=118,1960s,Gospel,1968
,42,"You say you're lookin' for someone
Who's never weak but always strong
To protect you and defend you
Whether you are right or wrong
Someone to open each and every door",It Ain't Me Babe,Bob Dylan,https://youtu.be/6kdlIYlduAY?t=45,1960s,,1964
,43,"Come gather 'round people
Wherever you roam
And admit that the waters
Around you have grown
And accept it that soon
You'll be drenched to the bone
If your time to you is worth savin'
And you better start swimmin'
Or you'll sink like a stone",The Times They Are a-Changin',Bob Dylan,https://youtu.be/Q9_nWlSX6Us?t=3,1960s,,1965
,44,"Darkness at the break of noon, Shadows even the silver spoon, The handmade blade, the child’s balloon, Eclipses both the sun and moon,
To understand you know too soon, 
There is no sense in trying","It’s Alright, Ma (I’m Only Bleeding)",Bob Dylan,https://youtu.be/E1nSKmh507E?t=11,1960s,,1965
,45,"Crimson flames tied through my ears
Rolling high and mighty traps
Pounced with fire on flaming roads
Using ideas as my maps
""We'll meet on edges, soon,"" said I
Proud 'neath heated brow. Ah, but I was so much older then
I'm younger than that now",My Back Pages,Bob Dylan (30th anniversary concert),https://youtu.be/rGEIMCWob3U?t=28,1960s,,1964
,46,"Gentlemen, he said
I don't need your organization, I've shined your shoes
I've moved your mountains and marked your cards
But Eden is burning, either getting ready for elimination
Or else your hearts must have the courage for the changing of the guards",Changing of the Guards,Bob Dylan,https://youtu.be/LsgHi_DvmM8?t=168,1970s,,1978
,47,"Ain't it just like the night to play tricks when you're tryin' to be so quiet?
We sit here stranded, though we're all doin' our best to deny it
And Louise holds a handful of rain, temptin' you to defy it
Lights flicker from the opposite loft
In this room the heat pipes just cough
The country music station plays soft
But there's nothing, really nothing to turn off
Just Louise and her lover so entwined
And these visions of Johanna that conquer my mind",Visions of Johanna,Bob Dylan,https://youtu.be/uW9_2r3raHE?t=28,1960s,,1966
,48,"Why wait any longer for the world to begin?
You can have your cake and eat it too
Why wait any longer for the one you love?
When he's standing, in front of you","Lay, Lady, Lay",Bob Dylan,https://youtu.be/cijlz5JsCLA?t=110,1960s,,1969
,49,"Your breath is sweet, your eyes are like two jewels in the sky
Your back is straight, your hair is smooth on the pillow where you lie
But I don't sense affection, no gratitude or love
Your loyalty is not to me but to the stars above",One More Cup of Coffee,Bob Dylan,https://youtu.be/ujgqOgMIwfA?t=28,1970s,,1976
,50,"There are no mistakes in life, some people say
It is true sometimes you can see it that way
But people don't live or die. People just float
She went with the man in the long black coat",Man In The Long Black Coat,Bob Dylan,https://youtu.be/OWcCxotIBcg?t=138,1980s,,1989
,51,"Once I had mountains in the palm of my hand
And rivers that ran through every day
I must have been mad
I never knew what I had
Until I threw it all away",Threw It All Away,Bob Dylan live on the Johnny Cash Show,https://youtu.be/93NnaKMDUSo?t=45,1960s,,1969
,52,"Standing on the waters casting your bread
While the eyes of the idol with the iron head are glowing
Distant ships sailing into the mist
You were born with a snake in both of your fists while a hurricane was blowing
Freedom just around the corner for you
But with the truth so far off, what good will it do?",Jokerman,Bob Dylan,https://youtu.be/1XSvsFgvWr0?t=1,1980s,,1984
,53,"Ring them bells ye heathen from the city that dreams
Ring them bells from the sanctuaries cross the valleys and streams
For they're deep and they're wide
And the world is on its side
And time is running backwards
And so is the bride",Ring Them Bells,Bob Dylan,https://youtu.be/rZJbfEAqxNE?t=9,1980s,,1989
,54,"If you can't speak out against this kind of thing, a crime that's so unjust,
Your eyes are filled with dead men's dirt, your mind is filled with dust.
Your arms and legs they must be in shackles and chains, and your blood it must refuse to flow,
For you let this human race fall down so God-awful low!",The Death of Emmett Till,Bob Dylan,https://youtu.be/ivLSKE4wpRU?si=cGF1iuZwJw1g2CuD&t=190,1960s,Folk,1962
,55,"I can't see my reflection in the waters
I can't speak the sounds that show no pain
I can't hear the echo of my footsteps
Or remember the sound of my own name
Yes, and only if my own true love was waitin'
And if I could hear her heart a-softly poundin'
Yes and only if she was lyin' by me
Then I'd lie in my bed once again",Tomorrow is a Long Time,Bob Dylan,https://youtu.be/UHG06Q45ziI?si=ok6X08tFkAucBbei&t=60,1970s,,1971
,56,"The neighborhood bully been driven out of every land
He's wandered the earth an exiled man
Seen his family scattered, his people hounded and torn
He's always on trial for just being born",Neighborhood Bully,Bob Dylan,https://youtu.be/QKEYAdPkjVE?si=EINiC9N0kUF8LSOH&t=49,1980s,,1983
,57,"Well, it's always been my nature
To take chances
My right hand drawing back
While my left hand advances
Where the current is strong
And the monkey dances
To the tune
Of a concertina",Angelina,Bob Dylan,https://youtu.be/u8CU7wd7fGU?si=NpLrU7xBrmJeZHe7&t=1,1990s,,1991
,58,"Hush, little children, you'll understand
The Beatles are comin', they're gonna hold your hand
Slide down the banister, go get your coat
Ferry 'cross the Mersey and go for the throat
There's three bums comin' all dressed in rags
Pick up the pieces and lower the flags
I'm goin' to Woodstock, it's the Aquarian Age
Then I'll go to Altamont and sit near the stage
Put your head out the window, let the good times roll
There's a party goin' on behind the Grassy Knoll
Stack up the bricks, pour the cement
Don't say Dallas don't love you, Mr. President",Murder Most Foul,Bob Dylan,https://youtu.be/bgSgZjRp5YA?si=ohTuQxqFwCq_3tra&t=131,2020s,folk,2020
,59,"Catfish, million-dollar-man
Nobody can throw the ball like Catfish can
Used to work on Mr. Finley’s farm
But the old man wouldn’t pay
So he packed his glove and took his arm
And one day he just ran away",Catfish,Bob Dylan and Jacques Levy,https://youtu.be/eql7x6AYTM4?si=7wsMzKBuCyYD2jxv&t=35,1990s,,1991
