21,"You say you got a real solution
Well, you know
We'd all love to see the plan
You ask me for a contribution
Well, you know
We're all doing what we can",Revolution 1,The Beatles,Thompson Twins /  Madonna / Steve Stevens / Nile Rodgers / Revolution (Live Aid 1985),https://youtu.be/BGLGzRXY5Bw?t=60  https://youtu.be/c_KNArtcc9k?t=110,1968
,-----,Across the Universe / Lennon McCartney,The Beatles,0:07 / 5:33,,1969
22,"Father McKenzie
Writing the words of a sermon that no one will hear
No one comes near
Look at him working
Darning his socks in the night when there's nobody there
What does he care?",Eleanor Rigby,The Beatles,Johnny Mathis,https://youtu.be/HuS5NuXRb5Y?t=44. https://youtu.be/XoFhq1LBqQg?t=60,1966
23,"We'll make the scene about a man that's sad and lonely
And beggin' down upon his bended knee
I'll play the part but I won't need rehearsing",Act Naturally / Johnny Russell & Voni Morrison ,Help!,Loretta Lynn,https://youtu.be/b5rpAqfd35Q?t=86.  https://youtu.be/0VGSaFhNW-k?t=67,1965
---,-----,All My Loving / Lennon McCartney,With the Beatles,,,1963
---,-----,Ask Me Why / Lennon McCartney,Please Please Me,,,1963
---,-----,"Baby's in Black / Lennon
McCartney",Beatles for Sale,,,1964
,----,Because,Abbey Road,,,
8,"Say you don't need no diamond rings
And I'll be satisfied
Tell me that you want the kind of things
That money just can't buy
I don't care too much for money",Can't Buy Me Love / Lennon McCartney,Hard Day's Night,Ella Fitzgerald,https://youtu.be/srwxJUXPHvE?t=97. https://youtu.be/sac36xV4ZnA?t=78,1964
54,"Got a good reason
For taking the easy way out
Got a good reason
For taking the easy way out, now",Day Tripper ,Rubber Soul,James Taylor,https://youtu.be/AYZlME0mQB8?si=BInYMlrodGaCtYRk&t=16. https://youtu.be/REoCtGPIOjs?si=Kw4d6tn1876mh_n8&t=15,1965
---,"Closer
Let me whisper in your ear
Say the words you long to hear
I'm in love with you
Ooh-ooh-ooh-ooh ooh",Do You Want to Know a Secret / Lennon McCartney,Please Please Me,George Harrison. Lennon & McCartney,https://youtu.be/yvBm4CtJRYM?si=CBT5WAQ6C5ZfZ4sQ&t=25,1963
7,"Well on the way, head in a cloud
The man of a thousand voices
Talking perfectly loud
But nobody ever hears him
Or the sound he appears to make
And he never seems to notice",The Fool on the Hill / Lennon McCartney,Magical Mystery Tour,Sergio Mendes & the Brasil '66,https://youtu.be/wsRatIMUSu8?t=42   https://youtu.be/VEHckjjbE8I?t=51,1967
6,"I was alone, I took a ride
I didn't know what I would find there
Another road where maybe
I could see another sign there
Oo, then I suddenly see you
Oo, and did I tell you I need you
Ev'ry single day of my life
 ",Got to Get You into My Life / Lennon McCartney,Revolver,Earth Wind and Fire,https://youtu.be/r95-7zfgtLw?t=1 https://youtu.be/cByrcn4-iAw?t=74,1966
24,"To lead a better life, I need my love to be here
Here, making each day of the year
Changing my life with a wave of her hand
Nobody can deny that there's something there
There, running my hands through her hair
Both of us thinking how good it can be
Someone is speaking
But she doesn't know he's there","Here, There and Everywhere / Lennon McCartney",Revolver,Petula Clark,https://youtu.be/xdcSFVXd3MU. https://youtu.be/Lgx8PlfYFQ0,1966
25,"Oh we danced through the night
And we held each other tight
And before too long
I fell in love with her
Now I'll never dance with another",I Saw Her Standing There / Lennon McCartney,Please Please Me,Bruce Springsteen and McCartney ,https://youtu.be/oxwAB3SECtc?t=130. https://youtu.be/SzhXSSRPvxQ?t=108,1963
26,"And when at last I find you
Your song will fill the air
Sing it loud so I can hear you
Make it easy to be near you
For the things you do endear you to me",I Will / Lennon McCartney,Beatles White Album,Art Garfunkel / Hugh Masekela,https://youtu.be/p-abNGP1BK4?t=58.     https://youtu.be/jHLvk_nio30?t=57.  https://youtu.be/bBd6p-8OPxA?t=115,1968
---,-----,Julia / Lennon McCartney,Beatles White Album,,,1968
10,"Tuesday afternoon is never ending
Wednesday morning papers didn't come
Thursday night your stocking needed mending
See how they run",Lady Madonna / Lennon McCartney,The Beatles,Fats Domino,https://youtu.be/uLRiGX3L-kw?t=88. https://youtu.be/Q1OdbPpvFYg?t=96,1968
11,"She asked me to stay And she told me to sit anywhere
So I looked around And I noticed there wasn't a chair
I sat on a rug biding my time
Drinking her wine
We talked until two and then she said
""It's time for bed""",Norwegian Wood,Rubber Soul,Waylon Jennings,https://youtu.be/Y_V6y1ZCg_8?t=31   https://youtu.be/XCbDl5o2Wk8?t=27,1965
9,"I don't know why nobody told you
How to unfold your love
I don't know how someone controlled you
They bought and sold you",While My Guitar Gently Weeps,Beatles White Album,"Prince, Tom Petty, Jeff Lynne, Steve Winwood, and Dhani Harrison 2004 Tribute for George Harrison's entry into the Rock & Roll Hall of Fame",https://youtu.be/VJDJs9dumZI?t=48   https://youtu.be/6SFNW5F8K9Y?t=49,1968
27,"Don't carry the world upon your shoulders.
For well you know that it's a fool who plays it cool
By making his world a little colder",Hey Jude,Hey Jude,Wilson Pickett and Duane Allman,https://youtu.be/0y8Q2PATVyI?t=59,1968
28,"And when the broken hearted people living in the world agree
There will be an answer....
For though they may be parted, there is still a chance that they will see
There will be an answer",Let It Be,Let It Be,Mavis Staples and James Taylor Kennedy Center Honors McCartney,https://youtu.be/hR-3ajVftG4?t=51.  https://youtu.be/BEGwgUcKgUQ?t=48,1970
30,"Come on, come on, come, come on, baby, now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I knew you would",Twist and Shout,"Phil Medley and Bert Berns. Please Please Me Performed live on th Ed Sullivan Show, Feb. 23, 1964",Isley Brothers (1962-before The Beatles),https://youtu.be/b-VAxGJdJeQ?t=13.  https://youtu.be/NqBIDg4Pl6Y?t=15,1961
41,"I'm in love for the first time
Don't you know it's gonna last
It's a love that lasts forever
It's a love that has no past",Don’t Let Me Down,Let It Be Performed on the roof of Apple in Savile Row,Annie Lennox (1992),https://youtu.be/NCtzkaL2t_Y?t=75. https://youtu.be/71wxc3TQ73Q?t=95,1969
31,"I am he as you are he as you are me
And we are all together
See how they run like pigs from a gun
See how they fly
I'm crying",I Am the Walrus,Magical Mystery Tour,Jim Carrey,https://youtu.be/TKuvJLTeJYY?t=18. https://youtu.be/7MoWQSe3txY?t=20,1967
33,"Love was such an easy game to play
Now I need a place to hide away",Yesterday,Help!,"Linkin Park, JayZ & McCartney at 48th annual Grammy's",https://youtu.be/wXTJBr9tt8Q?t=79.  https://youtu.be/I04Ql9ublFI?t=195,1965
34,"When I was younger, so much younger than today
(I never need) I never needed anybody's help in any way
(Now) but now these days are gone (these days are gone)
I'm not so self assured
(And now I find) now I find I've changed my mind
And opened up the doors",Help!,Help!,Tina Turner,https://youtu.be/2Q_ZzBGPdqE?t=9. https://youtu.be/4cro7kZKG2c?t=15,1965
35,"Picture yourself on a train in a station
With plasticine porters with looking glass ties
Suddenly someone is there at the turnstile
The girl with the kaleidoscope eyes",Lucy in The Sky With Diamonds,Sgt. Pepper's Lonely Hearts Club Band.,Elton John,https://youtu.be/l7x-0c9jl4Y?t=130. https://youtu.be/zJtAAg_jAjk?t=224,1967
32,"Take these sunken eyes and learn to see
All your life
You were only waiting for this moment to be free",Blackbird,White Album,"Crosby, Stills & Nash",https://youtu.be/Xpn_lGaTOEo?t=29. https://youtu.be/wORwlCy3JDI?t=72,1968
36,"Pools of sorrow, waves of joy are drifting through my opened mind
Possessing and caressing me
Nothing's gonna change my world",Across The Universe,Let It Be,David Bowie,https://youtu.be/eqUzU552X8A?t=21. https://youtu.be/cgvTDCiX6Vw?t=13,1969
37,"If you drive a car, I'll tax the street
If you try to sit, I'll tax your seat
If you get too cold, cold, I'll tax the heat
If you take a walk, walk) I'll tax your feet",Taxman,Revolver,Tom Petty,https://youtu.be/gMdcE8jdz70?t=53. https://youtu.be/GCZHgmba_b0?t=58,1966
38,"I'll pretend that I'm kissing the lips I am missing
And hope that my dreams will come true
And then while I'm away, I'll write home everyday",All My Loving,With the Beatles,Amy Winehouse,https://youtu.be/6N4frdY1h2w?t=26. https://youtu.be/VadsG2xoHHE?t=48,1963
40,"I'm so glad that she's my little girl (ooh-ooh)
She's so glad she's telling all the world (ooh-ooh)
That her baby buys her things, you know
He buys her diamond rings, you know
She said so",I Feel Fine,Eight Days a Week,Sweethearts Of The Rodeo,https://youtu.be/WrAV5EVI4tU?t=42. https://youtu.be/llZUkDwxAnw?t=36,1964
42,"Someone to love, somebody new
Someone to love, someone like you",Love Me Do,Please Please Me,The Chipmunks,https://youtu.be/0JWl_wUOQc4?t=56. https://youtu.be/aXeIk9HCtX0?t=50,1962
43,"I Dig a Pygmy by Charles Hawtrey and the Deaf Aids
Phase one, in which Doris gets her oats
Two of us riding nowhere
Spending someone's hard-earned pay
You and me, Sunday driving
Not arriving, on our way back home",Two of Us ,Let It Be,Aimee Mann and Michael Penn scene in I am Sam,https://youtu.be/Ql1cL_y0xes?t=14. https://youtu.be/r0itqzROSkA?t=7,1970
45,"Why, tell me why
Did you not treat me right
Love has a nasty habit
Of disappearing overnight
You're thinking of me
The same old way
You were above me
But not today
The only difference is you're down there",I’m Looking Through You,Rubber Soul,Steve Earle & The Bluegrass Dukes,https://youtu.be/-Qg5lGNchYM?t=64. https://youtu.be/J4YSF-mB3dQ?t=89,1965
47,"Here I stand, head in hand
Turn my face to the wall
If she's gone I can't go on
Feeling two foot small
Everywhere people stare
Each and ev'ryday
I can see them laugh at me
And I hear them say",You’ve Got To Hide Your Love Away,Help!,The Beach Boys,https://youtu.be/aVXgpLeAfAY?t=1. https://youtu.be/8D45JgzD9is?t=37,1965
29,"Sit beside a mountain stream, see her waters rise
Listen to the pretty sound of music as she flies",Mother Nature’s Son,The Beatles,Sheryl Crow from I am Sam and Jack White at the Gershwin Prize for Paul McCartney,https://youtu.be/F0nRNxC1QhU?t=31. https://youtu.be/UKpCAI-oXMg?t=38. https://youtu.be/Ox6SWAiDGyY?t=53,1968
48,"Once there was a way
To get back homeward
Once there was a way
To get back home
Sleep, pretty darling
Do not cry
And I will sing a lullaby",Golden Slumbers,Abbey Road,Dua Lipa,https://youtu.be/PjKtfvKJSuk?t=6.  https://youtu.be/svZScJMh4Pg?t=10,1969
49,"Life is very short, and there's no time
For fussing and fighting, my friend
I have always thought that it's a crime
So, I will ask you once again
Try to see it my way
Only time will tell if I am right or I am wrong
While you see it your way
There's a chance that we might fall apart before too long",We Can Work It Out ,Yesterday and Today / Rubber Soul,"Stevie Wonder, live at the White House",https://youtu.be/Qyclqo_AV2M?t=35. https://youtu.be/uznnHd5thXE?t=61,1965
39,"Half of what I say is meaningless
But I say it just to reach you",Julia,John Lennon from Whiteology  White Album,John Lennon from Whiteology / Chocolate Genius Incorporated from I Am Sam,https://youtu.be/82I12bKofdg?t=11. https://youtu.be/VTUCe5A1CuY?t=13,1968
46,"I used to get mad at my school (no, I can't complain)
The teachers who taught me weren't cool (no, I can't complain)
You're holding me down (ah-ah)
Turning me 'round (oh-oh)
Filling me up with your rules (fool, you fool)",Getting Better All The Time,Sgt. Pepper's Lonely Hearts Club Band.,Gomez,https://youtu.be/EGlo9LzmOME?t=6. https://youtu.be/1VKDfWJsjnA?t=6,1967
44,"Everybody seems to think I'm lazy
I don't mind, I think they're crazy
Runnin' everywhere at such a speed
'Til they find there's no need (there's no need)
Please, don't spoil my day
I'm miles away
And after all
I'm only sleeping",I’m Only Sleeping,Yesterday and Today,Rosanne Cash,https://youtu.be/5XwXliCK19Y?t=33. https://youtu.be/-vRcugByKec?t=43,1966
50,"You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will be as one",Imagine,Imagine,UNICEF World Version,https://youtu.be/ugrAo8wEPiI?t=128.  https://youtu.be/L7IP4UlXvG8?t=87,1971
51,"Now they're frightened of leaving it
Everyone's reading it
Comin' on strong all the time
All through the day
I me mine
 ",I Me Mine,Let It Be,Marc Ford (Black Crowes),https://youtu.be/jXrYuH-_75o?si=3CeORoa46-9W3FDx&t=24.   https://youtu.be/xQjAVxmAae8?si=Ko8INcYvRu-cG6EV&t=49,1970
52,"Michelle, ma belle
Sont les mots qui vont tres bien ensemble
Tres bien ensemble
I need to, I need to, I need to
I need to make you see
Oh, what you mean to me
Until I do, I'm hoping you will know what I mean",Michelle,Rubber Soul," Live at The White House, 2010 McCartney, Lennon. Sarah Vaughan",https://youtu.be/yrRLH-ZGZEs?si=3zTk787sciYs-1dy&t=74. https://youtu.be/YNCHtPvUegA?si=P5ZKJ0wNAu7lgk80&t=31,1965
53,"Time after time you refuse to even listen
I wouldn't mind if I knew what I was missing
Though the days are few, they're filled with tears
And since I lost you, it feels like years
Yes, it seems so long, girl, since you've been gone
And I just can't go on
If you won't see me, you won't see me
",You Won’t See Me,Rubber Soul,"McCartney, Live in Saint Petersburg.  Anne Murray And Chicago - You Won't See Me (Live)",https://youtu.be/hdoAsiy82yk?si=qMk5PtIC-7uYZ6UH&t=87. https://youtu.be/MD_8cDGnkxE?si=xa6ob2Rj-2qJ1c-i&t=87,1965
,Let's all get up and dance to a song That was a hit before your mother was born Though she was born a long long time ago Your mother should know (your mother should),Your Mother Should Know,Magical Mystery Tour,Lennon & McCartney,https://youtu.be/NAn6iDCpK5k?si=jUnVSL8vZE4QVCDO&t=30,1967
